"","","","","","pSum",""
"1",1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"2",1e-04,1e-04,1e-04,0.25,0.25,0.75
"3",1e-04,1e-04,0.25,1e-04,0.25,0.75
"4",1e-04,1e-04,0.25,0.25,0.5,0.5
"5",1e-04,0.125,1e-04,1e-04,0.125,0.875
"6",1e-04,0.125,1e-04,0.25,0.375,0.625
"7",1e-04,0.125,0.25,1e-04,0.375,0.625
"8",1e-04,0.125,0.25,0.25,0.625,0.375
"9",1e-04,0.25,1e-04,1e-04,0.25,0.75
"10",1e-04,0.25,1e-04,0.25,0.5,0.5
"11",1e-04,0.25,0.25,1e-04,0.5,0.5
"12",1e-04,0.25,0.25,0.25,0.75,0.25
"13",0.25,1e-04,1e-04,1e-04,0.25,0.75
"14",0.25,1e-04,1e-04,0.25,0.5,0.5
"15",0.25,1e-04,0.25,1e-04,0.5,0.5
"16",0.25,1e-04,0.25,0.25,0.75,0.25
"17",0.25,0.125,1e-04,1e-04,0.375,0.625
"18",0.25,0.125,1e-04,0.25,0.625,0.375
"19",0.25,0.125,0.25,1e-04,0.625,0.375
"20",0.25,0.125,0.25,0.25,0.875,0.125
"21",0.25,0.25,1e-04,1e-04,0.5,0.5
"22",0.25,0.25,1e-04,0.25,0.75,0.25
"23",0.25,0.25,0.25,1e-04,0.75,0.25
"24",0.25,0.25,0.25,0.25,0.9999,1e-04
